,Employer,Address,Positions,Province,NOC,Stream,Incorporate_status,LMIAs,YEAR,PERIOD,NOC_code,NOC_label
9083,2775360 Ontario Inc.,"Vaughan, ON L4H 3N6",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9084,2775666  ONTARIO INC.,"Brampton, ON L6S 6B5",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9085,2775754 Ontario Inc.,"Brampton, ON L6P 2R2",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9086,2778361 Ontario Inc,"Brampton, ON L6W 0A2",1,Ontario,3219-Other medical technologists and technicians (except dental health),Low Wage,Unknown,1,2024,Q1,3219,Other medical technologists and technicians (except dental health)
9087,278167 Ontario Inc. O/A Rudy,"Etobicoke, ON M8Z 1T5",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9088,2786278 Ontario Inc.,"Kingston, ON K7K 7E1",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9089,2790257 Ontario Inc,"Trenton, ON K8V 5P5",1,Ontario,6731-Light duty cleaners,Low Wage,Unknown,1,2024,Q1,6731,Light duty cleaners
9090,2790714 Ontario Inc.,"Toronto, ON M4Y 1X9",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9091,2791783 Ontario Inc.,"Toronto, ON M2M 3Y7",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9092,2793155 ONTARIO INC.,"Brampton, ON L6S 0E9",1,Ontario,1311-Accounting technicians and bookkeepers,Low Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
9093,2793559 Ontario Inc.,"York, ON M9N 1W8",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9094,2794417 ONTARIO INC.,"Brampton, ON L6Z 3S4",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9095,2794426 Ontario Inc.,"Mississauga, ON L5B 0G4",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9096,2794426 Ontario Inc.,"Mississauga, ON L5B 0G4",1,Ontario,6512-Bartenders,Low Wage,Unknown,1,2024,Q1,6512,Bartenders
9097,2794693 Ontario Inc.,"Barrie, ON L4M 5A1",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9098,2795895 ONTARIO INCORPORATED,"Picton, ON K0K 2T0",1,Ontario,"4412-Home support workers, housekeepers and related occupations",Low Wage,Unknown,1,2024,Q1,4412,"Home support workers, housekeepers and related occupations"
9099,2796007 ONTARIO INC,"BRAMPTON, ON L7A 0S9",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9100,2796943 Ontario Inc,"Cochrane, ON P0L 1C0",1,Ontario,0631-Restaurant and food service managers,Low Wage,Unknown,1,2024,Q1,0631,Restaurant and food service managers
9101,2799057 Ontario Limited,"Oakville, ON L6L 0B6",2,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9102,2799057 Ontario Limited,"Oakville, ON L6L 0B6",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9103,2799480 ONTARIO INC.,"Peterborough, ON K9K 0C9",3,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9104,2808807 Ontario Ltd,"Mississauga, ON L5N 1V9",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9105,2812996 Ontario Inc.,"Brampton, ON L6W 3N3",1,Ontario,7272-Cabinetmakers,Low Wage,Unknown,1,2024,Q1,7272,Cabinetmakers
9106,2818431 ONTARIO LIMITED,"Port Dover, ON N0A 1N0",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9107,2819733 Ontario Inc.,"Fort Erie, ON L2A 5K9",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9108,2821409 Ontario Inc.,"Toronto, ON M2M 3X9",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9109,2830817 ontario inc.,"BRAMPTON, ON L6X 5G6",2,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9110,2832867 Ontario Inc.,"Mississauga, ON L5R 4C1",1,Ontario,6332-Bakers,Low Wage,Unknown,1,2024,Q1,6332,Bakers
9111,2832876 Ontario Inc.,"Brampton, ON L6V 2V3",1,Ontario,1241-Administrative assistants,Low Wage,Unknown,1,2024,Q1,1241,Administrative assistants
9112,2833627 ONTARIO INC,"St. Catharines, ON L2S 0E6",2,Ontario,6332-Bakers,Low Wage,Unknown,1,2024,Q1,6332,Bakers
9113,2835334 ONTARIO LTD,"London, ON N6E 3B9",1,Ontario,"6331-Butchers, meat cutters and fishmongers - retail and wholesale",Low Wage,Unknown,1,2024,Q1,6331,"Butchers, meat cutters and fishmongers - retail and wholesale"
9114,2835334 ONTARIO LTD,"London, ON N6E 3B9",1,Ontario,6332-Bakers,Low Wage,Unknown,1,2024,Q1,6332,Bakers
9115,2837135 ONTARIO INC,"BRADFORD, ON L3Z 2B1",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9116,2838099 Ontario Inc.,"Oshawa, ON L1G 0B2",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9117,2839435 Ontario Inc,"Maple, ON L6A 4R9",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9118,2839999 ONTARIO INC,"RICHMOND HILL, ON L4B 3B4",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9119,2845850 ONTARIO INC.,"MISSISSAUGA, ON L4T 1N1",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9120,2847047 Ontario Inc.,"Atikokan, ON P0T 1C0",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9121,2847238 Ontario Inc.,"Hamilton, ON L8G 1A3",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9122,2849034 Ontario Ltd.,"Toronto, ON M5H 1H1",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9123,285 KING LIMITED PARTNERSHIP,"Kingston, ON K7L 3B1",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9124,285 KING LIMITED PARTNERSHIP,"Kingston, ON K7L 3B1",3,Ontario,6731-Light duty cleaners,Low Wage,Unknown,1,2024,Q1,6731,Light duty cleaners
9125,2850959 ONTARIO INC.,"Exeter, ON N0M 1S3",4,Ontario,6311-Food service supervisors,Low Wage,Unknown,2,2024,Q1,6311,Food service supervisors
9126,2851365 Ontario Inc.,"Woodbridge, ON L4L 0C4",1,Ontario,1241-Administrative assistants,Low Wage,Unknown,1,2024,Q1,1241,Administrative assistants
9127,2851547 ONTARIO INC.,"Smiths Falls, ON K7A 5B2",2,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9128,2854755 Ontario Limited,"Sudbury, ON P3C 3X8",3,Ontario,7611-Construction trades helpers and labourers,Low Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
9129,2855019 ONTARIO INC.,"Toronto, ON M5A 1E1",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9130,2856321 Ontario Inc,"Timmins, ON P4N 2H1",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9131,2856530 Ontario Inc.,"Orleans, ON K1C 1E4",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9132,2860295 Ontario Inc.,"Concord, ON L4K 4M3",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9133,2864003 ONTARIO INC.,"MARKHAM, ON L6B 0S9",2,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9134,2865218 Ontario Inc.,"Oshawa, ON L1K 2Y4",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9135,2868183 Ontario Inc.,"Aurora, ON L4G 0G2",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9136,2868183 Ontario Inc.,"Aurora, ON L4G 0G2",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
